"Código";"Descripcion";"Cuenta";"FechaAdquisicion";"ValorAdquisicion";"Amortizado";"Pendiente";"FechaVta";"ImpVenta"
"117";"PACKARD BELL IMEDIA D4807 SP +";"2170000069";"27/04/2011";"360,38";"241,32";"119,06";"";""
"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000026";"27/06/2011";"458,01";"115,11";"342,9";"";""
"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000027";"29/07/2011";"433,5";"104,69";"328,81";"";""
"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"2160000028";"15/09/2011";"229";"52,59";"176,41";"";""
"121";"IMPRESORA OKI LASER MB280MFP";"2170000071";"28/11/2011";"50";"26,1";"23,9";"";""
"122";"HP LASERJET PRO 100 C0L0R";"2170000072";"16/02/2012";"246,16";"115,34";"130,82";"";""
"123";"EQUIPO HP P3300 SFF I3-2120 4G";"2170000073";"29/02/2012";"414,18";"189,86";"224,32";"";""
"124";"HP Pavilion p6-2304es Core i3";"2170000074";"20/03/2013";"431,29";"84,3";"346,99";"";""
