"Concepto";"Descripción";"Elemento";"Descripción";"FechaAdquisicion";"ValorAdquisicion";"AmortAcumulada";"TotalAmortizacion";"Pendiente"
"3";"MOBILIARIO, ENSERES Y DEMAS EQ";"118";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"27/06/2011";"458,01";"115,11";"3,82";"339,08"
"3";"MOBILIARIO, ENSERES Y DEMAS EQ";"119";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"29/07/2011";"433,5";"104,69";"3,61";"325,2"
"3";"MOBILIARIO, ENSERES Y DEMAS EQ";"120";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"15/09/2011";"229";"52,59";"1,91";"174,5"
"6";"EQUIPOS TRATAM. DE INFORMACION";"117";"PACKARD BELL IMEDIA D4807 SP +";"27/04/2011";"360,38";"241,32";"7,51";"111,55"
"6";"EQUIPOS TRATAM. DE INFORMACION";"121";"IMPRESORA OKI LASER MB280MFP";"28/11/2011";"50";"26,1";"1,04";"22,86"
"6";"EQUIPOS TRATAM. DE INFORMACION";"122";"HP LASERJET PRO 100 C0L0R";"16/02/2012";"246,16";"115,34";"5,13";"125,69"
"6";"EQUIPOS TRATAM. DE INFORMACION";"123";"EQUIPO HP P3300 SFF I3-2120 4G";"29/02/2012";"414,18";"189,86";"8,63";"215,69"
"6";"EQUIPOS TRATAM. DE INFORMACION";"124";"HP Pavilion p6-2304es Core i3";"20/03/2013";"431,29";"84,3";"8,98";"338,01"
