"CCoste";"Descripción";"Cuenta";"Título";"Fecha";"Documento";"Contrapartida";"Descripción";"Concepto";"Debe";"Haber";"Saldo";"Cta"
"74";"AUTOMATICO";"400000011";"ESPRINET IBERICA, S.L.U.";"06/10/2015";"Z236903";"572000003";"BANCO SABADELL";"N/PAGO";"76,3";"0";"76,3";"400000011"
"74";"AUTOMATICO";"400000071";"KIMALDI ELECTRONICS, S.L.";"05/10/2015";"58715";"572000003";"BANCO SABADELL";"N/PAGO";"540,48";"0";"540,48";"400000071"
"74";"AUTOMATICO";"472000014";"H.P., IVA SOPORTADO AL 21%";"05/10/2015";"53908947";"400000056";"1&1 INTERNET ESPAÑA, S.L.U.";"S/FACTURA";"2,1";"0";"2,1";"472000014"
"74";"AUTOMATICO";"472000014";"H.P., IVA SOPORTADO AL 21%";"05/10/2015";"53909906";"400000056";"1&1 INTERNET ESPAÑA, S.L.U.";"S/FACTURA";"2,1";"0";"4,2";"472000014"
"74";"AUTOMATICO";"472000014";"H.P., IVA SOPORTADO AL 21%";"14/10/2015";"12121";"410000001";"CONSTRUCCIONES RUZAFA, S.L";"S/FACTURA";"21";"0";"25,2";"472000014"
